gvkey,iid,datadate,tic,prccd,,,
1161,1,20161212,AMD,10.68,,,
1161,1,20161213,AMD,10.54,,,
1161,1,20161214,AMD,10.55,,,
1161,1,20161215,AMD,10.86,,,
1161,1,20161216,AMD,10.66,,,
1161,1,20161219,AMD,10.95,,,
1161,1,20161220,AMD,11.51,,,
1161,1,20161221,AMD,11.47,,,
1161,1,20161222,AMD,11.6,,,
1161,1,20161223,AMD,11.58,,,
1161,1,20161227,AMD,12.07,,,
1161,1,20161228,AMD,11.55,,,
1161,1,20161229,AMD,11.59,,,
1161,1,20161230,AMD,11.34,,,
1161,1,20170103,AMD,11.43,,,
1161,1,20170104,AMD,11.43,,,
1161,1,20170105,AMD,11.24,,,
1161,1,20170106,AMD,11.32,,,
1161,1,20170109,AMD,11.49,,,
1161,1,20170110,AMD,11.44,,,
1161,1,20170111,AMD,11.2,,,
1161,1,20170112,AMD,10.76,,,
1161,1,20170113,AMD,10.58,,,
1161,1,20170117,AMD,9.82,,,
1161,1,20170118,AMD,9.88,,,
1161,1,20170119,AMD,9.77,,,
1161,1,20170120,AMD,9.75,,,
1161,1,20170123,AMD,9.91,,,
1161,1,20170124,AMD,10.44,,,
1161,1,20170125,AMD,10.35,,,
1161,1,20170126,AMD,10.52,,,
1161,1,20170127,AMD,10.67,,,
1161,1,20170130,AMD,10.61,,,
1161,1,20170131,AMD,10.37,,,
1161,1,20170201,AMD,12.06,,,
1161,1,20170202,AMD,12.28,,,
1161,1,20170203,AMD,12.24,,,
1161,1,20170206,AMD,13.63,,,
1161,1,20170207,AMD,13.29,,,
1161,1,20170208,AMD,13.56,,,
1161,1,20170209,AMD,13.42,,,
1161,1,20170210,AMD,13.58,,,
1161,1,20170213,AMD,13.49,,,
1161,1,20170214,AMD,13.26,,,
1161,1,20170215,AMD,13.3,,,
1161,1,20170216,AMD,12.97,,,
1161,1,20170217,AMD,13.13,,,
1161,1,20170221,AMD,14,,,
1161,1,20170222,AMD,14.28,,,
1161,1,20170223,AMD,14.32,,,
1161,1,20170224,AMD,14.12,,,
1161,1,20170227,AMD,15.2,,,
1161,1,20170228,AMD,14.46,,,
1161,1,20170301,AMD,14.96,,,
1161,1,20170302,AMD,13.9,,,
1161,1,20170303,AMD,13.03,,,
1161,1,20170306,AMD,13.04,,,
1161,1,20170307,AMD,13.05,,,
1161,1,20170308,AMD,13.22,,,
1161,1,20170309,AMD,13.33,,,
1161,1,20170310,AMD,13.91,,,
1161,1,20170313,AMD,14.28,,,
1161,1,20170314,AMD,14.1,,,
1161,1,20170315,AMD,13.98,,,
1161,1,20170316,AMD,13.65,,,
1161,1,20170317,AMD,13.49,,,
1161,1,20170320,AMD,14.4,,,
1161,1,20170321,AMD,13.82,,,
1161,1,20170322,AMD,14.1,,,
1161,1,20170323,AMD,13.79,,,
